587,"Aleksandr Viktorovich ""Sasha"" Abt",M,179,68
588,Najmeh Abtin,F,160,57
589,Mohamed Abu Abdullah,M,173,74
590,Abdul Wahab Abu Al-Hail Labid,M,180,79
591,Mohamed Ahmed Abu Ali,M,NA,NA
592,Methkal Marouf Abu Drais,M,168,67
593,Lailin Abu Hassan,M,NA,NA
594,Majed Abu Maraheel,M,180,76
595,Maher Abu Rmilah,M,172,72
596,Mohamed Ahmed Abu Sobea,M,NA,NA
597,Omar Abu-Fares,M,178,69
598,Bektas Abubakirov,M,165,54
599,Nagmeldin Ali Abubakr,M,172,63
600,Sanna Abubkheet,F,157,52
601,Abudoureheman,M,182,75
602,Juma Abudu,M,170,59
603,"Folashade ""Shade"" Abugan",F,150,64
604,Fernando J. Abugattas Aboino,M,190,80
605,Roberto Abugattas Aboino,M,182,77
606,Hamza Abughalia,M,NA,85
607,Ahmad Abughaush,M,178,68
608,Fartun Abukar Omar,F,170,58
609,Ginko Abukawa-Chiba,F,148,46
610,Mohammed Abukhousa,M,170,67
611,Mohammad Abulibdeh,M,183,68
612,Kariman Abuljadayel,F,180,70
613,Jos Manuel Abundis Sandoval,M,177,72
614,Abdullah Abuqrais,M,163,65
615,Shigeru Aburaya,M,163,51
616,Cristobal Alejandro Aburto Tinoco,M,161,60
617,Aleksandr Veniaminovich Abushakhmetov,M,189,81
618,Magomedgasan Mingazhutdinovich Abushev,M,170,62
619,Kanat Kalizhanovich Abutalipov,M,168,56
620,Anas Sameer N. H. Abuyousuf,M,181,77
621,Ali Abuzamia,M,185,80
