512,"Shooting Men's Free Pistol, 50 yards",Shooting
513,"Shooting Men's Free Pistol, 50 yards, Team",Shooting
514,"Shooting Men's Free Rifle, 1,000 Yards",Shooting
515,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",Shooting
516,"Shooting Men's Free Rifle, Any Position, 300 metres",Shooting
517,"Shooting Men's Free Rifle, Kneeling, 300 metres",Shooting
518,"Shooting Men's Free Rifle, Prone, 300 metres",Shooting
519,"Shooting Men's Free Rifle, Prone, 600 metres",Shooting
520,"Shooting Men's Free Rifle, Standing, 300 metres",Shooting
521,"Shooting Men's Free Rifle, Three Positions, 300 metres",Shooting
522,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Shooting
523,"Shooting Men's Military Pistol, 25 metres",Shooting
524,"Shooting Men's Military Pistol, 30 metres",Shooting
525,"Shooting Men's Military Pistol, Team",Shooting
526,"Shooting Men's Military Revolver, 1873-1874 Gras Model, 20 metres",Shooting
527,"Shooting Men's Military Revolver, 20 metres",Shooting
528,"Shooting Men's Military Rifle, 1873-1874 Gras Model, Kneeling Or Standing, 200 metres",Shooting
529,"Shooting Men's Military Rifle, 200 metres",Shooting
530,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Shooting
531,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Shooting
532,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Shooting
533,"Shooting Men's Military Rifle, Any Position, 600 metres",Shooting
534,"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",Shooting
535,"Shooting Men's Military Rifle, Prone, 300 metres",Shooting
536,"Shooting Men's Military Rifle, Prone, 300 metres, Team",Shooting
537,"Shooting Men's Military Rifle, Prone, 600 metres",Shooting
538,"Shooting Men's Military Rifle, Prone, 600 metres, Team",Shooting
539,"Shooting Men's Military Rifle, Standing, 300 metres",Shooting
